Item_ID	Prefix	Noun	Verb	Habitual	Sentence	Context
861:84	privacy	privacy	is	privacy	well, the first thing for me is i wonder, i see a couple of different ways of * talking about what privacy is *t*-1,	###so, i, i guess so.###speakera83.###why don't we do that *t*-1?###speakerb84.###okay.###speakera85.###good-bye sharon.###speakerb86.###good * talking to you archie.###speakera1.
862:18	privacy	privacy	is	privacy	um, if privacy is something that *t*-2 disturbs your private state, i mean an invasion of privacy is something that *t*-3 disturbs your private state, that's one thing,	###speakera83.###why don't we do that *t*-1?###speakerb84.###okay.###speakera85.###good-bye sharon.###speakerb86.###good * talking to you archie.###speakera1.###well, the first thing for me is i wonder, i see a couple of different ways of * talking about what privacy is *t*-1,
862:68	privacy	privacy	is	privacy	um, if privacy is something that *t*-2 disturbs your private state, i mean an invasion of privacy is something that *t*-3 disturbs your private state, that's one thing,	###speakera83.###why don't we do that *t*-1?###speakerb84.###okay.###speakera85.###good-bye sharon.###speakerb86.###good * talking to you archie.###speakera1.###well, the first thing for me is i wonder, i see a couple of different ways of * talking about what privacy is *t*-1,
863:10	privacy	privacy	is	privacy	and if privacy is something that *t*-1 comes into your private state and extracts information from it, in other words, finds something *ich*-2 out about you that's another.	###why don't we do that *t*-1?###speakerb84.###okay.###speakera85.###good-bye sharon.###speakerb86.###good * talking to you archie.###speakera1.###well, the first thing for me is i wonder, i see a couple of different ways of * talking about what privacy is *t*-1,###um, if privacy is something that *t*-2 disturbs your private state, i mean an invasion of privacy is something that *t*-3 disturbs your private state, that's one thing,
865:38	someone	someone	comes	someone	but in the second time, at least overtly, uh, where someone comes in and, uh, finds out information about you that *t*-1 should be private *t*-2, uh, does not seem, uh, um, obviously, everyday.	###okay.###speakera85.###good-bye sharon.###speakerb86.###good * talking to you archie.###speakera1.###well, the first thing for me is i wonder, i see a couple of different ways of * talking about what privacy is *t*-1,###um, if privacy is something that *t*-2 disturbs your private state, i mean an invasion of privacy is something that *t*-3 disturbs your private state, that's one thing,###and if privacy is something that *t*-1 comes into your private state and extracts information from it, in other words, finds something *ich*-2 out about you that's another.###and the first kind of invasion of, the first type of privacy seemed *t*-2 invaded *-1 to me, and very much everyday in this country,
868:106	my immediate reaction	reaction	is	reaction	i think 0 in a good example on the typical thing that *t*-1 happens, uh, when the phone rang *t*-2 and it's t i 0 *t*-3 calling, my immediate reaction is that it's some sort of strange phone message	###speakerb86.###good * talking to you archie.###speakera1.###well, the first thing for me is i wonder, i see a couple of different ways of * talking about what privacy is *t*-1,###um, if privacy is something that *t*-2 disturbs your private state, i mean an invasion of privacy is something that *t*-3 disturbs your private state, that's one thing,###and if privacy is something that *t*-1 comes into your private state and extracts information from it, in other words, finds something *ich*-2 out about you that's another.###and the first kind of invasion of, the first type of privacy seemed *t*-2 invaded *-1 to me, and very much everyday in this country,###but in the second time, at least overtly, uh, where someone comes in and, uh, finds out information about you that *t*-1 should be private *t*-2, uh, does not seem, uh, um, obviously, everyday.###speakerb2.### i, i think 0 i agree with that.
905:77	the ritual	ritual	is	ritual	and you, one's feeling obligated, because of some sense of, of the way 0 the ritual is played *-1 out *t*-2.	###and i'm still astounded that, that one, they let anyone do them and two, that they have any effect in this whatsoever.###um, because i'm usually so insulted by them 0 i just hang up as soon as i recognize what, they are *t*-1.###speakerb14.###yeah.###speakera15.###i think 0 they prey on people's, um, inherent politeness on the phone even with the machine.###i find people being kind of polite and waiting for it to finish what it has *t*-1 0 *-3 to say *t*-2,###and then they feel an obligation *-1 to respond even though there's not even a person there.###speakerb16.###and i think 0 that's what *t*-1 makes one feel invaded is the fact that there seems *-2 to be little control
937:99	privacy	privacy	is	privacy	well, i guess, 0 although, i, well, that's a good point where you said that how does one define what invasion of privacy is *t*-1 *t*-3 *t*-2, because, uh, if that's the case of a tree falling in the forest	###and, i mean, you know, the classic, oh, i don't know c i a conspiracy theories or whatever, would have such parties *-1 trying *-2 to do it without your knowledge.###so there's,, things that *t*-1 invade that second type of privacy where you do know about them *t*-2 and possibly things that *t*-3 invade that second type of privacy without you knowing about it,###and i can't talk about the second one other than * to, to, to generate paranoia.###it's a surmise###and, i'd like *-1 to think that it's quite low, at least in this country.###speakerb26.###* to, to surmise. it is there.###speakera27.###i don't think 0 i'd like the k g b is monitoring my phone or anything like that.###speakerb28.
943:12	my privacy	privacy	has	privacy	then maybe my privacy hasn't been *?* because i have no sense of my privacy state having been invaded *-2.	###* to, to surmise. it is there.###speakera27.###i don't think 0 i'd like the k g b is monitoring my phone or anything like that.###speakerb28.###well, i guess, 0 although, i, well, that's a good point where you said that how does one define what invasion of privacy is *t*-1 *t*-3 *t*-2, because, uh, if that's the case of a tree falling in the forest###speakera29.###uh-huh,###yeah.###speakerb30.###and i'm not feeling invaded
962:10	someone	someone	finds	someone	and if someone finds out something about me that *t*-1 is true, i, i don't have a sense of loss from that.	###but i don't feel invaded by it.###speakera35.###uh-huh,###speakerb36.###i don't, have a sense of threat *ich*-1 in general from those sorts of things,###speakera37.###uh-huh.###speakerb38.###i'm not sure why.###uh, i guess 0 it comes from a sense of fact or facts
1021:79	software	software	is	software	i mean, they said 0 they would give it out to only select companies but, um, you know, just like software is only given *-1 out to customers,	###yeah.###speakerb58.###speakera59.###yeah.###speakerb60.###right.###exactly.###speakera61.###yeah.###and, um, one of the problems with the lotus data base was, um, that it was uncontrolled access to who *t*-1 would have that information.
1033:68	your income	income	is	income	and there's something rather ominous about * having virtually anyone, any hacker being able *-1 to know what your income is *t*-2, what your spending habits are *t*-3,	###speakerb62.###right.###right.###speakera63.### it would, it would be pirated *-1###and they wouldn't bother *-1 to check that carefully anyway to someone who *t*-2's offering, you know, full cash price, for it.###speakerb64.###right.###speakera65.###i mean, you know, you can't tell it, what a company really has *-1 to do *t*-2 with it
1038:56	privacy	privacy	is	privacy	and i guess 0 that turns out *-1 to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it	###and they wouldn't bother *-1 to check that carefully anyway to someone who *t*-2's offering, you know, full cash price, for it.###speakerb64.###right.###speakera65.###i mean, you know, you can't tell it, what a company really has *-1 to do *t*-2 with it###and there's something rather ominous about * having virtually anyone, any hacker being able *-1 to know what your income is *t*-2, what your spending habits are *t*-3,### and, you know, and, and that hacker just has *-1 to get in to, in touch with the sneak thief###and suddenly and then what *t*-1 started as an invasion of privacy can be an invasion of your actual home.###speakerb66.###uh-huh.
1042:48	privacy	privacy	is	privacy	so, maybe that is a, a little bit of what privacy is *t*-1.	###i mean, you know, you can't tell it, what a company really has *-1 to do *t*-2 with it###and there's something rather ominous about * having virtually anyone, any hacker being able *-1 to know what your income is *t*-2, what your spending habits are *t*-3,### and, you know, and, and that hacker just has *-1 to get in to, in touch with the sneak thief###and suddenly and then what *t*-1 started as an invasion of privacy can be an invasion of your actual home.###speakerb66.###uh-huh.###and i guess 0 that turns out *-1 to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it###speakera67.###yeah.###speakerb68.
1059:36	no indian language	language	has	language	in fact, it *exp*-2's said *-1 that no indian language has a word for privacy,	###i also thought about it, was of, uh, *-1 waiting *-2 to talk to you that, another thing that *t*-4 occurred to me is 0 there is not so much invasion of my privacy because i know how *-5 to behave *t*-6 such that there isn't *?*.###but i realized 0 i have *-1 to behave in a certain way in order *-2 to not have people invade my privacy.###if i deviate from social norms of behavior, if i run up and down the street *-1 yelling or something, someone's going *-2 to invade my privacy very quickly.###speakerb72.###uh-huh.###speakera73.###and i realize that that, i mean, i can take that for granted###but i used *-1 to, i used *-2 to live in india###and things are quite different *ich*-1 there in terms of that.###there's less of a sense of privacy.
1095:20	everyone	everyone	respects	everyone	whereas in this country where everyone respects the closed doors very much *t*-1, if you go out and then act like the lunatic you, you violate the, uh, the norms of social, of, um, public behavior.	###speakera83.###you know, it very much is *?*.###but on the other hand, i realized 0 i could go out on the street and act like a complete lunatic,###speakerb84.###uh-huh.###speakera85.###and people would leave, me alone.###speakerb86.###uh-huh.###speakera87.
1117:68	the population	population	goes	population	and it's obvious, you know, the results of sex are quite obvious,, as the population goes up an extra hundred million every few years.	### and, and that it *exp*-2's fascinating * to, to think a lot of someone who *t*-1 doesn't know how *-3 to say private *t*-4.###speakera91.###uh-huh,###uh-huh.###and that's really, um,###well, i mean, i, i wonder how people have sex *t*-1, and things like that,###speakerb92.###speakera93.###i mean, they a-,,###you go to india
1144:8	no one	one	is	one	but no one is just welcome *-1 to come by my house.	### are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded *-1 on a day-to-day basis or either on a growing frequency *t*-2?###speakera99.###all the class-, the other classic examples, the jehovah's witness or, or mormons or someone knocking at the front door, um, which *t*-1 is more intrusive because i have *-2 to really tell someone *-3 to go away.###and there's that sense of, i have now opened my door###they now see what i look like *t*-1, what i live like *t*-2### and nor-, and they're doing something that normally i really only invite, people to *t*-1.###speakerb100.###okay.###speakera101.###because i, any, anyone, any friend, anyone 0 i give my number to *t*-1 is welcome *-2 to call me,
1162:53	the phone	phone	tears	phone	and invariably just about the time, 0 i'm going *-1 to sleep *t*-2, the phone tears off the wall.	###and normally when they call *t*-1, you're either in the shower,###or you're in the middle of * cooking something###and you have *-1 to stop everything *-2 to run to the phone.###speakerb2.###yes,###yes.### is, is that one that you're talking about *t*-1.###speakera3.###that was the big one 0 i'm talking about *t*-1.###i work weird hours,
1261:35	the apartment complex	complex	puts	complex	now the part about where you said 0 the apartment complex puts up signs that *t*-1 says no soliciting *t*-2,	### and, and i don't like the way that they do it either *t*-1,### and, and, it *exp*-1's their mission that they do it.###they go door to door###and they go out into the public###and they actually have the, uh, teenagers serving two years like you would say like in an army and two years in * going around and doing missionary type work###and, uh, i don't know,###i just, um, don't particularly care for that at all.###and that, that's one thing that i feel really strongly about *t*-1 though, is, uh, you know, people *ich*-2 coming up to my door, and especially religious organizations and wanting *-3 to uh, you know, to try and get me to join or, you know, become interested in their religion,###because i have my own.###speakera21.
1586:21	that subject	subject	comes	subject	you know, when that subject comes up *t*-1 they can say yes,	###speakera88.###uh-huh.###i think 0 it's great,###i really,###speakerb89.###yeah,###speakera90.###and i look for more of that in the next generation.###speakerb91.###i do too, especially as women get up in management and, and can be in on those decision making,
1714:55	the version	version	is	version	if it is performed *-1 correctly or if it's done *-2 right, or if the version is done *-3 right, i like it,	###so i switch quite often.###um, i think 0 i like,### i, i'm really particular about the type of music that i listen to *t*-1.###speakera13.###uh-huh.###speakerb14.###but, the, uh,###there's such a wide selection,### i think 0 i like a lot, i like a little bit of a lot of different types of music.###you know, i, i, i like music that *t*-1 is, that i feel
1823:100	the song	song	goes	song	and, he, he since then has, has amended that, and paid them his royalties every time 0 the, the song goes on *t*-1	###well, ma-, maybe it wasn't that one.###because, it was a living, it was a living person that i'm, i'm thinking of *t*-1 that, um, that *t*-2 said," you know, hey that, those are my words."###speakerb56.###okay.###speakera57.###and, uh, i guess that they,###because they hadn't originally gotten, um, permission *ich*-2, from him *-1 to use it.###speakerb58.###uh-huh.###speakera59.
1931:16	our age	age	is	age	i guess 0 our age is showing when, we, we think that *t*-1.	###i mean, the comparison made * between new kids on the block with the beatles. it was just,###speakera93.###you can only laugh.###speakerb94.###yeah,###you just sort of,###you know, well i guess 0 i can just humor them, you know. at this point.###speakera95.###right###well, they,
1967:11	world music	music	is	music	well, world music is, um,	###speakerb104.###well, you know, really that's not world music.###but, what, what paul simon's doing *t*-1, i think 0 *t*-5 is, is, is great because he's, you know i think, i think that using, i guess 0 what they call *t*-2 it is *rnr*-3 eclectic, you know. *-4 drawing from a lot of different sources and making, you know, a synthesis of a new type of music.###um,###speakera105.###yeah.###speakerb106.###speakera107.###what do you mean *t*-1 by world music?###speakerb108.
1995:6	world music	music	takes	music	world music takes the forms that *t*-1 have really been, um, i guess, 0 i you know, the best example or, you know, the cream of the crop, i guess 0 you could say,	###speakerb116.###because, i mean, there are some##, i mean, i, i li-,###there are some, you know, types of heavy metal that i really like *t*-1,### but, but i wouldn't, i wouldn't say that i, i completely like heavy metal.###speakera117.###no.###speakerb118.### i, i think, you know,###and it's the same way with, you know,
2069:11	our house payment	payment	is	payment	because our house payment is once a month,	###so, um,###yes### we do keep, uh, well we started out *-1 keeping a budget about two years, ago,###we have a computer, here at the house,###speakerb2.###uh-huh.###speakera3.###and i made a lotus spreadsheet and went through the year *-2 using all of our, our checkbook *-3 to figure out what we spent *t*-1 each time and whether we were over or under for each month###and then basically since then what i've done *t*-1 is, is * keep track of it through the checkbook###so that based on whatever we've got *t*-1 coming in, the check coming in, then how much i'm spending *t*-2 each half of the month and then * trying *-3 to also spe-,
2104:21	everything	everything	is	everything	and keep-, everything is working pretty good.	###so.###speakera13.### is it, is it *exp*-1 hard * to keep track of it###or does it work out pretty well?###speakerb14.###um, it takes some, it *exp*-1 takes some dedication * to do it,###but it, it works out real well,###so.###speakera15.### and, and you're staying within your budget
2114:33	something	something	comes	something	if you can't stay, if something comes up and you can't stay within it then we have, uh, you know, a budget for, you know, like 0 we call *t*-1 our slush fund or something	###and keep-, everything is working pretty good.###speakerb16.###uh-huh.###speakera17.###speakerb18.###yeah,###yeah,### i stay wi-, i have *-1 to stay within it,###so i, you know,###and then we have that, you know,
2211:39	our life insurance guy	guy	has	guy	you know, just our, our life insurance guy has come out, you know,	###speakera49.###speakerb50.###or not,###yeah.###speakera51.###speakerb52.###uh-huh.###that sounds interesting,###we've never done any-,###we have,
2215:74	our life insurance	insurance	is	insurance	that, that's the other financial thing 0 i guess that we've done *t*-1 is with our life insurance is, since i'm at home now is, is * figuring out, uh, what we would need *t*-2 if something happened to my husband, or what he would need *t*-3 if something happened to me,	###speakera51.###speakerb52.###uh-huh.###that sounds interesting,###we've never done any-,###we have,###you know, just our, our life insurance guy has come out, you know,###and he's set up, uh, you know, determined how much we need *-1 to, you know, we need *t*-3 if something were *-2 to happen.###speakera53.###yeah,
2312:28	the customer	customer	is	customer	it talks about, uh, who the customer is *t*-1 and * being customer oriented, uh, which *t*-2 falls in line with the t i culture here at texas instruments.	###how about you?###speakerb20.###um, well i hate *-1 to,###yes,###i do.###speakera21.###speakerb22.### we, uh, we have these classes 0 we attend *t*-1, uh, management classes### and, and they give you books### and, and the last book, uh, matter of fact 0 i read *t*-1 was, at america's service by carl albrecht.
2320:50	the customer	customer	is	customer	uh, so that's all in self improvement * to stay focused on who the customer is *t*-1	### and, and they give you books### and, and the last book, uh, matter of fact 0 i read *t*-1 was, at america's service by carl albrecht.###it talks about, uh, who the customer is *t*-1 and * being customer oriented, uh, which *t*-2 falls in line with the t i culture here at texas instruments.###speakera23.###yeah.###speakerb24.###uh, one of its great slogans is 0 if you're not serving the customer, you better be serving someone who *t*-1 is *?*.###speakera25.###uh-huh.###speakerb26.
2399:28	the word	word	is	word	but, uh, i think 0 sometimes the word is a little over used	###speakerb52.###i have a hard time * finishing books.###speakera53.###well i guess 0 i also have been reading, uh, a lot of things on, uh, quality improvement and that type of thing because that's what i'm involved in *t*-1 a lot at work.###speakerb54.###uh-huh.###in quality, especially now days, uh, that's almost everything that *t*-1 comes across the, the, the airways mumblex.###speakera55.###oh, yeah,###you could almost label everything quality in some sense or other
2444:11	the policy	policy	is	policy	and supposedly the policy is like, you know, we, you know, we, hire these wonderful creative people	###speakera1.###okay, um,###i don't know about you###but where i am *t*-1 we have a like an extremely lax dress policy at work###and it varies like every day. i mean from jeans one day to business suits the next.###speakerb2.###speakera3.###it's pretty bad,###but it's true, you know,###they tend *-1 to try *-2 to be, you know, real lax
2511:31	record retention	retention	is	retention	and, you know, this area where record retention is *t*-1, there's only a few people that *t*-2 work there,	###we thought 0 t i dress code was * just dress appropriate to your job,###speakera17.###uh-huh.###speakerb18.###we wore shorts.###we didn't know 0 that was a big no, no.###speakera19.###oh no.###speakerb20.###and the supervisor from another area came up to us
2560:6	nobody	nobody	says	nobody	and nobody says anything to them.	###these were like pretty short, black,###and they were very dressy,###the were black velvet shorts###and she had on black hose and black heels###and she looked very, very nice.###speakerb32.###um.###speakera33.###but, you don't wear shorts to work.###you know, i mean, mumblex as far as i'm considered *-1, she was in violation
2566:6	the management	management	does	management	the management doesn't ever seem *-1 to want *-2 to take an, cut off, you know, that no, this is wear we're going *-3 to draw the line *t*-4.	###um.###speakera33.###but, you don't wear shorts to work.###you know, i mean, mumblex as far as i'm considered *-1, she was in violation###and nobody says anything to them.###it's always been a big problem in lewisville in the summertime.###speakerb34.###um.###speakera35.###you know, if they just, you know,
2598:26	t i's dress code	code	is	code	well i think 0 t i's dress code is pretty lax * considering everything, anyway, you know, uh.	###speakerb44.###yeah.###speakera45.###i mean i've never seen them do it without hose,###i mean they always have hose on,###but still, it's, they're shorts,###i don't care what you say *t*-1,###they're shorts.###speakerb46.###speakera47.
2600:41	that e d s	s	has	s	i know, i didn't know that e d s has a very strict dress code,	###speakera45.###i mean i've never seen them do it without hose,###i mean they always have hose on,###but still, it's, they're shorts,###i don't care what you say *t*-1,###they're shorts.###speakerb46.###speakera47.###well i think 0 t i's dress code is pretty lax * considering everything, anyway, you know, uh.###speakerb48.
2635:10	e d s	s	is	s	and e d s is very particular about this, hair cuts,	###uh-huh.###speakerb58.###and it told about the dress code###and it said, 0 these are the color pastel shirts 0 you may wear *t*-1,###or white shirts with this kind of stripe in it for the men and this kind of shoe and, hair just this way.###speakera59.###t i --s says no shorts and no halters.###i know, 0 that's it.###speakerb60.###yeah,
2696:152	upper management	management	does	management	and sometimes i wonder if stuff like that would, will hold you back, you know, if you don't dress in, you know, your * dress for success business suits everyday if, you know, if upper management doesn't notice that and remember that later on,	###gosh.###speakerb78.###speakera79.###well i don't know,###i just figure, you know, yeah,###sometimes i worry about, you know, if i go in in pants,###and i never, i never ever, ever, ever go in in a pair of jeans, you know.###but i'll go in in pants.###i mean today i had on a pair of, you know, navy blue dress slacks and, and, uh, like a peach colored top###and, you know, not cruddy, but not a dress either.
2751:20	money	money	does	money	i wonder what kind of money does he make *t*-1,	###speakera95.###it really is *?*, because you're making, you know,### if when they're meeting with the engineers who they know 0 *t*-1 are going *-4 to be dressed down *t*-5, if they come in, in, you know, a six hundred dollar three piece suit, it's going *-2 to make the people 0 they're meeting with *t*-3 feel very uncomfortable, you know,###or it would *?* me, you know.###speakerb96.###it's one of those slippery attorneys coming in here.###speakera97.###yeah,###yeah,###* look at this slick guy,
2824:15	everything	everything	is	everything	and our yard work, everything is in bloom,	###but then today the wind *ich*-1 has dropped off, and also, the temperature,### so, very cool, uh,###i think 0 right now it's like sixty-nine,###speakerb14.###um.###speakera15.###and that's cool for u-,###or it feels cool *ich*-1 compared to yesterday, but very pleasant,###no rain in the last month, i don't think *t*-1.###the ground's very dry
2825:10	our yard work	work	is	work	so our yard work is pretty tough, the ground being dry,	### so, very cool, uh,###i think 0 right now it's like sixty-nine,###speakerb14.###um.###speakera15.###and that's cool for u-,###or it feels cool *ich*-1 compared to yesterday, but very pleasant,###no rain in the last month, i don't think *t*-1.###the ground's very dry###and our yard work, everything is in bloom,
2859:6	the grass	grass	has	grass	the grass has been growing	###speakerb26.###oh, we have had, uh, as i've said, we have had variable weather. uh,###speakera27.###um.###speakerb28.###it has been untypically wet for this time of year,###speakera29.###um.###speakerb30.###and, also, we have a lot of green, you know,
2909:76	the wind	wind	blows	wind	it's amazing to me because i have only lived in dallas for three years, and i can not believe that the wind blows all the time.	###speakera49.###yes,###yes###it is *?*.###down in the more southern and western areas.###and, of course we are, um, about two hours from the northern border, straight south,###speakerb50.###yeah.###speakera51.### and, and, uh, very windy.
3262:8	the guitar	guitar	is	guitar	and the guitar is set *-1 like, really low,	###speakera37.###well, cinderella is, is hard rock, heavy metal.###speakerb38.###well, see, i don't really care for cinderella.###but, i like###a c d c's okay.###speakera39.###but, see, for example, they have, see what,###but other bands consider it like really hard rock.###it's like brash metal, which all 0 they do *t*-1 is 0 like, they have this guitar and they just bang at the guitar *t*-2,
3268:33	everybody	everybody	gets	everybody	and, what *t*-1 happens is like, oh, everybody gets like totally into the music	###speakera39.###but, see, for example, they have, see what,###but other bands consider it like really hard rock.###it's like brash metal, which all 0 they do *t*-1 is 0 like, they have this guitar and they just bang at the guitar *t*-2,###and the guitar is set *-1 like, really low,###speakerb40.###yeah.###no,###i don't really care for that too much, i guess 0 *t*-1.###speakera41.
3296:44	heavy metal	metal	is	metal	and, see, the difference, i guess, between hard rock and heavy metal is that the lyrics also.	###no,###i don't like that music.###speakerb50.###oh, okay.###speakera51.###but, that's, that's what they do *t*-1.### that's, that's what some people call like *t*-1 really heavy metal.###speakerb52.###oh, okay.###speakera53.
3303:13	hard rock	rock	has	rock	and, just hard rock has,	###speakerb52.###oh, okay.###speakera53.###and, see, the difference, i guess, between hard rock and heavy metal is that the lyrics also.###like really, like heavy metal, wo-, is considered *-1,###like the words heavy metal###and, like, you always thought about, like, suicide. and * killing people and stuff like that.###speakerb54.###yeah.###speakera55.
3383:8	the older stuff	stuff	is	stuff	the older stuff is the best of it.	### i like, i like the old rolling stones.###i don't like the new stuff.###speakerb78.###of the stones?###speakera79.###yeah.###speakerb80.###yeah.###i agree.###that's the ne-,
3452:32	everything	everything	is	everything	and then, one of them said, well, everything is great,	###speakera101.###and, they both loved the movie, right?###speakerb102.###uh-huh.###speakera103.###they said 0 the music's great,###it took me back to the sixties, and stuff like that.###speakerb104.###uh-huh.###speakera105.
3456:28	the end	end	is	end	because it's like, the end is, like, really depressing.	###speakera103.###they said 0 the music's great,###it took me back to the sixties, and stuff like that.###speakerb104.###uh-huh.###speakera105.###and then, one of them said, well, everything is great,###but i'm going *-1 to give it thumbs down.###and they go,###but why?
3461:43	the movie	movie	is	movie	but it, but it's like the movie is so well made,	###speakera105.###and then, one of them said, well, everything is great,###but i'm going *-1 to give it thumbs down.###and they go,###but why?###because it's like, the end is, like, really depressing.###and so,###speakerb106.###oh.###speakera107.
3667:60	my husband	husband	has	husband	and, uh, you know, whenever we, he, my husband has time off or something *t*-1, we take them to the zoo,	###speakera5.###have you all been able *-1 to do much as, uh, as a full family these days, all of you.###speakerb6.###oh, yes,### we've, uh, been, um, we've gone other, you know, all kinds of places,###we go out to dinner,###speakera7.###yeah.###speakerb8.###we take the kids to the park,
3681:44	my husband	husband	enjoys	husband	an, an then, uh, you know, my husband enjoys *-1 spending time with the kids, you know,	###speakerb10.###no,###i don't.###speakera11.###yeah,###i don't either,###it makes it a little bit easier, i think, that way.###speakerb12.###yeah,###it does,
3724:15	my youngest one	one	is	one	especially since my youngest one is, * excuse me, only fourteen months.	###yeah,###right###and, uh, you know, they, we, you know, we go to the park###or we go in the backyard and sit down###an,###speakera25.### that's wha-, yeah, that's what we mostly do *t*-1, pretty simple things.###speakerb26.###yeah.###speakera27.
3782:32	my mind	mind	is	mind	the thing that *t*-2 sticks out most in my mind is that, like a kid's place area.	###speakera45.###oh, yeah,###we,###i guess 0 there's science place one and science place two.###we've only been in, i think 0 it's *rnr*-1 science place two.###speakerb46.### i, is, i'm not sure which one we went into *t*-1,###it was about a year or so ago, when we went *t*-1.###speakera47.###the one 0 we went in *t*-1 had, uh,
3835:37	plano and campbell	campbell	is	campbell	and, and you said 0 about plano and campbell is *t*-1 the petting,	###uh-huh.###speakerb62.###and it's a indoor fun park###and it has a bunch of different rides for kids.###speakera63.###that's sounds fun too.###speakerb64.###and parents get in *-1 free###and it's like, during the week, it's like five dollars admission per child, all day.###speakera65.
3845:15	mesquite	mesquite	is	mesquite	and the one in mesquite is, uh, scyene exit.	### and, and you said 0 about plano and campbell is *t*-1 the petting,###speakerb66.###the petting farm,###yeah.###speakera67.###that sounds fun###i think 0 maybe we'll try *-1 to do that.###speakerb68.###yeah,###yeah
3901:8	my favorite show	show	is	show	my favorite show is masterpiece theatre	###speakerb84.###oh, no problem.###well, * take care.###speakera85.###okay,###bye-bye,###speakerb86.###bye-bye.###speakerb1.###okay, uh,
3945:88	course	course	is	course	well, unfortunately for us at least here in the united states, we, the only access *ich*-2 0 we have *t*-1 to that of course is public television.	###speakera14.###vociferously.###speakerb15.###okay,###well that's the reason why i like both of those programs *t*-1 is because they're kind of based on books.###speakera16.###yes.###speakerb17.###and, the plots are more, um, challenging, you know, than the sitcoms of regular t v.###speakera18.
